Geneid	Length
LOC_Os01g03090	1452
LOC_Os01g03100	1825
LOC_Os01g03110	2056
LOC_Os01g03119	144
LOC_Os01g03130	1117
LOC_Os01g03144	3584
LOC_Os01g03160	2010
LOC_Os01g03170	1956
LOC_Os01g03180	1568
LOC_Os01g03190	1394
LOC_Os01g03200	1126
LOC_Os01g03210	918
LOC_Os01g03220	345
LOC_Os01g03230	1554
LOC_Os01g03240	501
LOC_Os01g03250	210
LOC_Os01g03260	1824
LOC_Os01g03270	870
LOC_Os01g03280	723
LOC_Os01g03290	879
LOC_Os01g03300	1161
LOC_Os01g03310	911
LOC_Os01g03320	959
LOC_Os01g03330	1863
LOC_Os01g03340	1220
LOC_Os01g03350	288
LOC_Os01g03360	1174
LOC_Os01g03370	2895
LOC_Os01g03380	788
LOC_Os01g03390	996
LOC_Os01g03400	387
LOC_Os01g03410	672
LOC_Os01g03420	1254
LOC_Os01g03429	861
LOC_Os01g03440	963
LOC_Os01g03452	3684
LOC_Os01g03464	795
LOC_Os01g03480	285
LOC_Os01g03490	2429
LOC_Os01g03500	1258
LOC_Os01g03510	2301
LOC_Os01g03520	3960
LOC_Os01g03530	2509
LOC_Os01g03549	2304
LOC_Os01g03570	2278
LOC_Os01g03580	2985
LOC_Os01g03590	1782
LOC_Os01g03600	2673
LOC_Os01g03610	3078
LOC_Os01g03620	1909
LOC_Os01g03630	2040
LOC_Os01g03640	2292
LOC_Os01g03650	1739
LOC_Os01g03660	2226
LOC_Os01g03670	1246
LOC_Os01g03680	996
LOC_Os01g03690	3298
LOC_Os01g03710	1731
LOC_Os01g03720	1589
LOC_Os01g03740	3175
LOC_Os01g03730	1304
LOC_Os01g03750	895
LOC_Os01g03760	2850
LOC_Os01g03770	246
LOC_Os01g03780	5694
LOC_Os01g03790	405
LOC_Os01g03800	1764
LOC_Os01g03820	3187
LOC_Os01g03810	1025
LOC_Os01g03830	5214
LOC_Os01g03840	989
LOC_Os01g03850	249
LOC_Os01g03860	930
LOC_Os01g03870	2392
LOC_Os01g03880	258
LOC_Os01g03890	985
LOC_Os01g03900	676
LOC_Os01g03914	2701
LOC_Os01g03930	261
LOC_Os01g03940	1140
LOC_Os01g03950	3485
LOC_Os01g03960	360
LOC_Os01g03970	312
LOC_Os01g03980	1018
LOC_Os01g03989	369
LOC_Os01g04000	393
LOC_Os01g04005	4441
LOC_Os01g04010	528
LOC_Os01g04020	2134
LOC_Os01g04030	916
LOC_Os01g04040	306
LOC_Os01g04050	804
LOC_Os01g04070	3579
LOC_Os01g04080	1042
LOC_Os01g04090	1685
LOC_Os01g04100	1208
LOC_Os01g04110	825
LOC_Os01g04120	1802
LOC_Os01g04130	447
LOC_Os01g04140	2097
LOC_Os01g04150	2829
LOC_Os01g04160	3091
LOC_Os01g04170	1025
LOC_Os01g04180	885
LOC_Os01g04190	2447
LOC_Os01g04200	2882
LOC_Os01g04210	1236
LOC_Os01g04220	1215
LOC_Os01g04230	2384
LOC_Os01g04250	2991
LOC_Os01g04260	1289
LOC_Os01g04270	240
LOC_Os01g04280	1953
LOC_Os01g04290	1704
LOC_Os01g04300	2003
LOC_Os01g04310	300
LOC_Os01g04320	660
LOC_Os01g04324	1956
LOC_Os01g04330	911
LOC_Os01g04340	932
LOC_Os01g04350	951
LOC_Os01g04360	789
LOC_Os01g04370	851
LOC_Os01g04380	844
LOC_Os01g04390	778
LOC_Os01g04409	2460
LOC_Os01g04430	1011
LOC_Os01g04440	1620
LOC_Os01g04450	2362
LOC_Os01g04460	1890
LOC_Os01g04470	924
LOC_Os01g04480	1907
LOC_Os01g04490	2096
LOC_Os01g04500	543
LOC_Os01g04510	567
LOC_Os01g04520	1881
LOC_Os01g04530	789
LOC_Os01g04540	2208
LOC_Os01g04550	1737
LOC_Os01g04560	1026
LOC_Os01g04570	2254
LOC_Os01g04580	2292
LOC_Os01g04590	1481
LOC_Os01g04600	1747
LOC_Os01g04610	306
LOC_Os01g04620	1693
LOC_Os01g04630	1746
LOC_Os01g04640	886
LOC_Os01g04650	3441
LOC_Os01g04660	1703
LOC_Os01g04670	799
LOC_Os01g04680	1260
LOC_Os01g04690	204
LOC_Os01g04699	564
LOC_Os01g04710	1986
LOC_Os01g04720	3869
LOC_Os01g04730	705
LOC_Os01g04740	381
LOC_Os01g04750	1669
LOC_Os01g04760	249
LOC_Os01g04770	432
LOC_Os01g04780	8220
LOC_Os01g04790	1911
LOC_Os01g04800	1597
LOC_Os01g04814	1970
LOC_Os01g04830	378
LOC_Os01g04840	1347
LOC_Os01g04850	873
LOC_Os01g04860	1772
LOC_Os01g04870	2109
LOC_Os01g04880	3280
LOC_Os01g04900	2877
LOC_Os01g04910	1057
LOC_Os01g04920	2143
LOC_Os01g04930	2451
LOC_Os01g04950	4147
LOC_Os01g04960	4374
LOC_Os01g04970	171
LOC_Os01g04980	2274
LOC_Os01g04990	1499
LOC_Os01g05000	654
LOC_Os01g05010	1184
LOC_Os01g05020	2016
LOC_Os01g05030	2646
LOC_Os01g05040	1434
LOC_Os01g05050	807
LOC_Os01g05060	1178
LOC_Os01g05064	659
LOC_Os01g05070	1519
LOC_Os01g05080	1382
LOC_Os01g05090	1070
LOC_Os01g05100	1827
LOC_Os01g05105	4813
LOC_Os01g05120	846
LOC_Os01g05130	1027
LOC_Os01g05140	657
LOC_Os01g05150	802
LOC_Os01g05160	504
LOC_Os01g05170	673
LOC_Os01g05180	1122
LOC_Os01g05200	2814
LOC_Os01g05210	333
LOC_Os01g05220	504
LOC_Os01g05230	324
LOC_Os01g05240	222
LOC_Os01g05250	369
LOC_Os01g05260	522
LOC_Os01g05280	357
LOC_Os01g05289	955
LOC_Os01g05300	159
LOC_Os01g05310	970
LOC_Os01g05320	4128
LOC_Os01g05330	714
LOC_Os01g05340	837
LOC_Os01g05350	786
LOC_Os01g05360	381
LOC_Os01g05370	3255
LOC_Os01g05380	541
LOC_Os01g05390	240
LOC_Os01g05400	555
LOC_Os01g05410	402
LOC_Os01g05420	2221
LOC_Os01g05430	1294
LOC_Os01g05440	1236
LOC_Os01g05450	501
LOC_Os01g05460	600
LOC_Os01g05470	2567
LOC_Os01g05480	2435
LOC_Os01g05490	1552
LOC_Os01g05500	6649
LOC_Os01g05510	2517
LOC_Os01g05520	677
LOC_Os01g05530	2597
LOC_Os01g05540	1603
LOC_Os01g05550	456
LOC_Os01g05560	1553
LOC_Os01g05570	480
LOC_Os01g05580	534
LOC_Os01g05585	195
LOC_Os01g05590	1221
LOC_Os01g05600	2973
LOC_Os01g05610	974
LOC_Os01g05620	2970
LOC_Os01g05630	972
LOC_Os01g05640	3307
LOC_Os01g05650	757
LOC_Os01g05660	3297
LOC_Os01g05670	1443
LOC_Os01g05680	642
LOC_Os01g05694	555
LOC_Os01g05710	784
LOC_Os01g05720	705
LOC_Os01g05730	1215
LOC_Os01g05744	1264
LOC_Os01g05760	231
LOC_Os01g05770	1368
LOC_Os01g05780	579
LOC_Os01g05790	2553
LOC_Os01g05800	2443
LOC_Os01g05810	2470
LOC_Os01g05820	1692
LOC_Os01g05830	1841
LOC_Os01g05840	1549
LOC_Os01g05850	465
LOC_Os01g05860	2362
LOC_Os01g05870	4485
LOC_Os01g05880	1227
LOC_Os01g05890	1248
LOC_Os01g05900	734
LOC_Os01g05940	4233
LOC_Os01g05960	3430
LOC_Os01g05970	767
LOC_Os01g05980	3129
LOC_Os01g06000	3226
LOC_Os01g06010	879
LOC_Os01g06020	1494
LOC_Os01g06030	732
LOC_Os01g06040	927
LOC_Os01g06050	1789
LOC_Os01g06060	1211
LOC_Os01g06070	759
LOC_Os01g06080	423
LOC_Os01g06090	765
LOC_Os01g06100	2427
LOC_Os01g06110	3102
LOC_Os01g06120	780
LOC_Os01g06130	1084
LOC_Os01g06140	1359
LOC_Os01g06150	1041
LOC_Os01g06160	2991
LOC_Os01g06170	2688
LOC_Os01g06180	2451
LOC_Os01g06200	2331
LOC_Os01g06210	945
LOC_Os01g06220	1378
LOC_Os01g06230	276
LOC_Os01g06240	2496
LOC_Os01g06250	1023
LOC_Os01g06260	399
LOC_Os01g06270	2051
LOC_Os01g06280	4123
LOC_Os01g06290	2741
LOC_Os01g06300	4458
LOC_Os01g06310	752
LOC_Os01g06320	1383
LOC_Os01g06330	1287
LOC_Os01g06340	860
LOC_Os01g06350	573
LOC_Os01g06360	2361
LOC_Os01g06370	561
LOC_Os01g06380	1176
LOC_Os01g06390	570
LOC_Os01g06400	1531
LOC_Os01g06410	561
LOC_Os01g06420	633
LOC_Os01g06430	819
LOC_Os01g06440	1469
LOC_Os01g06450	1650
LOC_Os01g06454	779
LOC_Os01g06460	1231
LOC_Os01g06470	1515
LOC_Os01g06490	1765
LOC_Os01g06500	964
LOC_Os01g06510	2153
LOC_Os01g06520	3921
LOC_Os01g06530	2805
LOC_Os01g06540	453
LOC_Os01g06550	3225
LOC_Os01g06560	1743
LOC_Os01g06570	252
LOC_Os01g06580	1182
LOC_Os01g06590	2875
LOC_Os01g06600	2127
LOC_Os01g06610	741
LOC_Os01g06620	1182
LOC_Os01g06630	863
LOC_Os01g06640	1731
LOC_Os01g06650	912
LOC_Os01g06660	2311
LOC_Os01g06670	3212
LOC_Os01g06680	2881
LOC_Os01g06690	1563
LOC_Os01g06700	6213
LOC_Os01g06710	2382
LOC_Os01g06720	2721
LOC_Os01g06730	3397
LOC_Os01g06740	1574
LOC_Os01g06750	1485
LOC_Os01g06760	2223
LOC_Os01g06770	5400
LOC_Os01g06780	234
LOC_Os01g06790	2982
LOC_Os01g06800	699
LOC_Os01g06810	3987
LOC_Os01g06820	1005
LOC_Os01g06836	1563
LOC_Os01g06852	1950
LOC_Os01g06870	1521
LOC_Os01g06876	1080
LOC_Os01g06882	950
LOC_Os01g06890	2289
LOC_Os01g06900	3093
LOC_Os01g06910	171
LOC_Os01g06920	3382
LOC_Os01g06940	519
LOC_Os01g06950	465
LOC_Os01g06960	622
LOC_Os01g06970	195
LOC_Os01g06980	525
LOC_Os01g06990	561
LOC_Os01g07000	528
LOC_Os01g07010	570
LOC_Os01g07020	576
LOC_Os01g07030	812
LOC_Os01g07040	608
LOC_Os01g07050	558
LOC_Os01g07060	585
LOC_Os01g07070	2686
LOC_Os01g07080	2240
LOC_Os01g07090	1399
LOC_Os01g07100	1515
LOC_Os01g07110	4550
LOC_Os01g07120	3874
LOC_Os01g07130	1710
LOC_Os01g07140	2787
LOC_Os01g07150	613
LOC_Os01g07160	1332
LOC_Os01g07170	1659
LOC_Os01g07180	975
LOC_Os01g07190	549
LOC_Os01g07200	1499
LOC_Os01g07212	1665
LOC_Os01g07224	96
LOC_Os01g07240	1328
LOC_Os01g07250	1721
LOC_Os01g07260	2166
LOC_Os01g07270	375
LOC_Os01g07280	2952
LOC_Os01g07289	51
LOC_Os01g07300	1449
LOC_Os01g07310	2235
LOC_Os01g07320	615
LOC_Os01g07330	3983
LOC_Os01g07340	1887
LOC_Os01g07350	3084
LOC_Os01g07360	2552
LOC_Os01g07364	444
LOC_Os01g07370	2415
LOC_Os01g07376	976
LOC_Os01g07382	1511
LOC_Os01g07390	1986
LOC_Os01g07400	2156
LOC_Os01g07410	2184
LOC_Os01g07420	1519
LOC_Os01g07430	732
LOC_Os01g07439	99
LOC_Os01g07450	783
LOC_Os01g07460	279
LOC_Os01g07470	255
LOC_Os01g07480	1444
LOC_Os01g07490	5812
LOC_Os01g07500	2047
LOC_Os01g07510	231
LOC_Os01g07520	2249
LOC_Os01g07530	2937
LOC_Os01g07540	1561
LOC_Os01g07550	408
LOC_Os01g07560	4026
LOC_Os01g07570	1963
LOC_Os01g07579	81
LOC_Os01g07590	1377
LOC_Os01g07600	2320
LOC_Os01g07610	1913
LOC_Os01g07620	1005
LOC_Os01g07630	2514
LOC_Os01g07640	1608
LOC_Os01g07650	222
LOC_Os01g07660	1697
LOC_Os01g07670	801
LOC_Os01g07680	447
LOC_Os01g07700	1780
LOC_Os01g07710	1173
LOC_Os01g07720	2123
LOC_Os01g07730	1652
LOC_Os01g07740	2922
LOC_Os01g07750	1077
LOC_Os01g07760	3907
LOC_Os01g07770	960
LOC_Os01g07780	1000
LOC_Os01g07790	1374
LOC_Os01g07800	3652
LOC_Os01g07810	1625
LOC_Os01g07820	3220
LOC_Os01g07830	3153
LOC_Os01g07840	5826
LOC_Os01g07850	1021
LOC_Os01g07860	2475
LOC_Os01g07870	5488
LOC_Os01g07880	753
LOC_Os01g07890	729
LOC_Os01g07900	716
LOC_Os01g07910	1421
LOC_Os01g07920	1210
LOC_Os01g07930	1212
LOC_Os01g07940	2543
LOC_Os01g07950	1026
LOC_Os01g07960	1995
LOC_Os01g07970	1015
LOC_Os01g07980	846
LOC_Os01g07990	4284
LOC_Os01g08000	1322
LOC_Os01g08010	2281
LOC_Os01g08020	2430
LOC_Os01g08050	453
LOC_Os01g08060	1281
LOC_Os01g08070	1524
LOC_Os01g08080	1350
LOC_Os01g08090	1833
LOC_Os01g08100	1506
LOC_Os01g08110	2022
LOC_Os01g08120	1998
LOC_Os01g08130	1024
LOC_Os01g08140	594
LOC_Os01g08150	2809
LOC_Os01g08160	2084
LOC_Os01g08170	3604
LOC_Os01g08180	486
LOC_Os01g08190	4189
LOC_Os01g08200	2944
LOC_Os01g08209	87
LOC_Os01g08220	1181
LOC_Os01g08229	126
LOC_Os01g08240	297
LOC_Os01g08250	4989
LOC_Os01g08260	2257
LOC_Os01g08270	2998
LOC_Os01g08280	2125
LOC_Os01g08290	1708
LOC_Os01g08300	162
LOC_Os01g08310	905
LOC_Os01g08320	1358
LOC_Os01g08330	1365
LOC_Os01g08340	2156
LOC_Os01g08350	351
LOC_Os01g08360	357
LOC_Os01g08370	1714
LOC_Os01g08380	1748
LOC_Os01g08390	324
LOC_Os01g08400	1695
LOC_Os01g08410	1721
LOC_Os01g08420	3391
LOC_Os01g08430	5189
LOC_Os01g08440	1817
LOC_Os01g08450	759
LOC_Os01g08460	1362
LOC_Os01g08464	912
LOC_Os01g08470	2276
LOC_Os01g08480	3963
LOC_Os01g08490	873
LOC_Os01g08500	1287
LOC_Os01g08510	2717
LOC_Os01g08520	1648
LOC_Os01g08530	1461
LOC_Os01g08540	4059
LOC_Os01g08550	1970
LOC_Os01g08560	3188
LOC_Os01g08570	1488
LOC_Os01g08580	1941
LOC_Os01g08590	243
LOC_Os01g08600	816
LOC_Os01g08610	2502
LOC_Os01g08620	312
LOC_Os01g08630	1488
LOC_Os01g08640	252
LOC_Os01g08650	1755
LOC_Os01g08660	1188
LOC_Os01g08670	807
LOC_Os01g08680	2043
LOC_Os01g08690	1335
LOC_Os01g08700	4768
LOC_Os01g08710	2052
LOC_Os01g08720	3192
LOC_Os01g08730	3114
LOC_Os01g08740	240
LOC_Os01g08750	11103
LOC_Os01g08760	1053
LOC_Os01g08770	2190
LOC_Os01g08780	2340
LOC_Os01g08790	717
LOC_Os01g08800	1766
LOC_Os01g08810	1790
LOC_Os01g08814	1123
LOC_Os01g08820	2030
LOC_Os01g08830	1798
LOC_Os01g08840	468
LOC_Os01g08850	1792
LOC_Os01g08860	845
LOC_Os01g08870	288
LOC_Os01g08880	669
LOC_Os01g08890	2771
LOC_Os01g08930	2164
LOC_Os01g08940	426
LOC_Os01g08950	1291
LOC_Os01g08960	1114
LOC_Os01g08970	2613
LOC_Os01g08980	592
LOC_Os01g08990	861
LOC_Os01g09000	2858
LOC_Os01g09010	1873
LOC_Os01g09020	2642
LOC_Os01g09030	3033
LOC_Os01g09050	3321
LOC_Os01g09060	945
LOC_Os01g09069	66
LOC_Os01g09080	1882
LOC_Os01g09090	447
LOC_Os01g09100	962
LOC_Os01g09110	252
LOC_Os01g09120	1776
LOC_Os01g09130	750
LOC_Os01g09140	453
LOC_Os01g09150	753
LOC_Os01g09160	3144
LOC_Os01g09170	6084
LOC_Os01g09180	156
LOC_Os01g09190	946
LOC_Os01g09200	2378
LOC_Os01g09206	810
LOC_Os01g09212	636
LOC_Os01g09220	1834
LOC_Os01g09230	1440
LOC_Os01g09240	651
LOC_Os01g09246	5076
LOC_Os01g09252	2205
LOC_Os01g09260	1599
LOC_Os01g09270	228
LOC_Os01g09280	1694
LOC_Os01g09290	579
LOC_Os01g09300	1636
LOC_Os01g09305	774
LOC_Os01g09310	3253
LOC_Os01g09320	2744
LOC_Os01g09330	753
LOC_Os01g09340	1641
LOC_Os01g09350	264
LOC_Os01g09360	735
LOC_Os01g09370	1455
LOC_Os01g09384	3020
LOC_Os01g09400	765
LOC_Os01g09410	1580
LOC_Os01g09420	1890
LOC_Os01g09430	1182
LOC_Os01g09440	516
LOC_Os01g09450	1852
LOC_Os01g09460	1919
LOC_Os01g09470	1835
LOC_Os01g09480	291
LOC_Os01g09490	3768
LOC_Os01g09500	627
LOC_Os01g09510	980
LOC_Os01g09520	6042
LOC_Os01g09530	3144
LOC_Os01g09540	1368
LOC_Os01g09550	5830
LOC_Os01g09560	2012
LOC_Os01g09570	2280
LOC_Os01g09580	1744
LOC_Os01g09590	1165
LOC_Os01g09600	5670
LOC_Os01g09610	2547
LOC_Os01g09620	2080
LOC_Os01g09640	1769
LOC_Os01g09650	495
LOC_Os01g09660	774
LOC_Os01g09665	1275
LOC_Os01g09670	1520
LOC_Os01g09680	498
LOC_Os01g09690	408
LOC_Os01g09700	1910
LOC_Os01g09710	369
LOC_Os01g09720	648
LOC_Os01g09730	1964
LOC_Os01g09740	1753
LOC_Os01g09750	2370
LOC_Os01g09760	3314
LOC_Os01g09770	2078
LOC_Os01g09780	114
LOC_Os01g09790	1843
LOC_Os01g09800	2330
LOC_Os01g09810	474
LOC_Os01g09820	150
LOC_Os01g09830	727
LOC_Os01g09840	201
LOC_Os01g09850	3310
LOC_Os01g09860	4360
LOC_Os01g09870	519
LOC_Os01g09880	1448
LOC_Os01g09890	1102
LOC_Os01g09900	1539
LOC_Os01g09914	129
LOC_Os01g09930	1239
LOC_Os01g09940	204
LOC_Os01g09950	153
LOC_Os01g09960	3579
LOC_Os01g09970	174
LOC_Os01g09980	756
LOC_Os01g09990	1799
LOC_Os01g10000	393
LOC_Os01g10010	1305
LOC_Os01g10020	1857
LOC_Os01g10030	2923
LOC_Os01g10040	2075
LOC_Os01g10050	2538
LOC_Os01g10060	318
LOC_Os01g10070	501
LOC_Os01g10080	1183
LOC_Os01g10090	1710
LOC_Os01g10100	1364
LOC_Os01g10110	2586
LOC_Os01g10120	324
LOC_Os01g10130	1709
LOC_Os01g10140	2236
LOC_Os01g10150	2466
LOC_Os01g10160	627
LOC_Os01g10170	228
LOC_Os01g10180	1244
LOC_Os01g10190	168
LOC_Os01g10195	1238
LOC_Os01g10200	174
LOC_Os01g10210	1213
LOC_Os01g10219	99
LOC_Os01g10230	893
LOC_Os01g10240	948
LOC_Os01g10250	3843
LOC_Os01g10260	615
LOC_Os01g10270	729
LOC_Os01g10280	2825
LOC_Os01g10290	1528
LOC_Os01g10300	1120
LOC_Os01g10310	513
LOC_Os01g10320	2158
LOC_Os01g10340	1171
LOC_Os01g10350	1482
LOC_Os01g10370	1138
LOC_Os01g10380	3012
LOC_Os01g10390	2511
LOC_Os01g10400	1222
LOC_Os01g10410	321
LOC_Os01g10420	738
LOC_Os01g10430	2987
LOC_Os01g10440	2372
LOC_Os01g10450	2597
LOC_Os01g10460	768
LOC_Os01g10470	892
LOC_Os01g10480	765
LOC_Os01g10490	1216
LOC_Os01g10504	1621
LOC_Os01g10520	2772
LOC_Os01g10530	3246
LOC_Os01g10550	222
LOC_Os01g10560	534
LOC_Os01g10570	270
LOC_Os01g10580	1526
LOC_Os01g10590	510
LOC_Os01g10600	1110
LOC_Os01g10610	1539
LOC_Os01g10630	1985
LOC_Os01g10640	808
LOC_Os01g10650	186
LOC_Os01g10660	327
LOC_Os01g10670	312
LOC_Os01g10680	2244
LOC_Os01g10690	2229
LOC_Os01g10700	2253
LOC_Os01g10710	2538
LOC_Os01g10720	3402
LOC_Os01g10729	105
LOC_Os01g10740	402
LOC_Os01g10750	369
LOC_Os01g10760	333
LOC_Os01g10770	753
LOC_Os01g10780	417
LOC_Os01g10790	1691
LOC_Os01g10800	3308
LOC_Os01g10810	851
LOC_Os01g10820	1022
LOC_Os01g10830	893
LOC_Os01g10840	1846
LOC_Os01g10850	1668
LOC_Os01g10860	1111
LOC_Os01g10870	1536
LOC_Os01g10880	198
LOC_Os01g10890	2061
LOC_Os01g10900	2835
LOC_Os01g10910	1923
LOC_Os01g10920	1851
LOC_Os01g10930	2280
LOC_Os01g10940	495
LOC_Os01g10950	2424
LOC_Os01g10960	1839
LOC_Os01g10970	1119
LOC_Os01g10980	1155
LOC_Os01g10990	1559
LOC_Os01g11000	879
LOC_Os01g11010	2064
LOC_Os01g11020	567
LOC_Os01g11030	114
LOC_Os01g11040	4673
LOC_Os01g11054	4783
LOC_Os01g11070	2270
LOC_Os01g11080	1050
LOC_Os01g11110	1374
LOC_Os01g11120	1557
LOC_Os01g11130	3034
LOC_Os01g11140	3663
LOC_Os01g11150	1336
LOC_Os01g11160	2199
LOC_Os01g11170	426
LOC_Os01g11190	357
LOC_Os01g11200	828
LOC_Os01g11210	1007
LOC_Os01g11220	1661
LOC_Os01g11230	1055
LOC_Os01g11240	1159
LOC_Os01g11250	2252
LOC_Os01g11260	1784
LOC_Os01g11270	1809
LOC_Os01g11280	1648
LOC_Os01g11289	87
LOC_Os01g11300	1670
LOC_Os01g11310	456
LOC_Os01g11320	624
LOC_Os01g11330	1764
LOC_Os01g11340	2024
LOC_Os01g11350	1483
LOC_Os01g11360	483
LOC_Os01g11370	2611
LOC_Os01g11390	408
LOC_Os01g11400	249
LOC_Os01g11414	2103
LOC_Os01g11430	1867
LOC_Os01g11450	2673
LOC_Os01g11460	1465
LOC_Os01g11470	354
LOC_Os01g11480	501
LOC_Os01g11490	696
LOC_Os01g11500	702
LOC_Os01g11510	1815
LOC_Os01g11520	1242
LOC_Os01g11530	564
LOC_Os01g11550	2473
LOC_Os01g11570	1127
LOC_Os01g11580	1902
LOC_Os01g11590	1774
LOC_Os01g11600	234
LOC_Os01g11609	90
LOC_Os01g11620	1596
LOC_Os01g11629	141
LOC_Os01g11640	237
LOC_Os01g11650	3600
